id,company_id_datasetA,number_matches_datasetB,valid
1219,201556,1,true
1220,201586,1,true
1221,201733,2,true
1222,201857,1,true
1223,201913,2,true
1224,201947,1,true
1225,201958,1,true
1226,202122,1,true
1227,202310,1,true
1228,202439,1,true
1229,202442,1,true
1230,202573,1,true
1231,202694,1,true
1232,202725,2,true
1233,202733,1,true
1234,202736,1,true
1235,202922,2,true
1236,202927,1,true
1237,202941,1,true
1238,203195,9,true
1239,203282,1,true
1240,203487,2,true
1241,203507,1,true
1242,203638,1,true
1243,203646,1,true
1244,203753,1,true
1245,203828,1,true
1246,203850,2,true
1247,203870,4,true
1248,203947,1,true
1249,204006,1,true
1250,204113,1,true
1251,204382,1,true
1252,204416,1,true
1253,204435,1,true
1254,204440,1,true
1255,204479,1,true
1256,204501,13,true
1257,204634,4,true
1258,204688,1,true
1259,204780,1,true
1260,204869,1,true
1261,204888,3,true
1262,204892,1,true
1263,204906,1,true
1264,204908,1,true
1265,204922,1,true
1266,205176,1,true
1267,205202,1,true
1268,205268,1,true
1269,205549,1,true
1270,205825,1,true
1271,205902,1,true
1272,205908,1,true
1273,205982,1,true
1274,206014,1,true
1275,206019,42,true
1276,206028,1,true
1277,206060,11,true
1278,206179,1,true
1279,206382,1,true
1280,206462,1,true
1281,206473,1,true
1282,206698,1,true
1283,206815,1,true
1284,206898,1,true
1285,206919,2,true
1286,206959,1,true
1287,207150,7,true
1288,207275,8,true
1289,207328,1,true
1290,207340,2,true
1291,207429,1,true
1292,207507,1,true
1293,207521,1,true
1294,207542,1,true
1295,207582,2,true
1296,207664,1,true
1297,207674,1,true
1298,207698,2,true
1299,207818,1,true
1300,207954,1,true
1301,207972,1,true
1302,208079,1,true
1303,208103,2,true
1304,208306,1,true
1305,208316,1,true
1306,208332,1,true
1307,208445,1,true
1308,208483,1,true
1309,208562,1,true
1310,208603,1,true
1311,208607,1,true
1312,208709,1,true
1313,208773,1,true
1314,208807,1,true
1315,208876,1,true
1316,208904,1,true
1317,208950,1,true
1318,209027,1,true
1319,209123,1,true
1320,209140,1,true
1321,209191,1,true
1322,209208,1,true
1323,209261,1,true
1324,209401,1,true
1325,209404,1,true
1326,209450,1,true
1327,209539,1,true
1328,209604,1,true
1329,209644,2,true
1330,209765,2,true
1331,209800,1,true
1332,210114,2,true
1333,210292,13,true
1334,210400,1,true
1335,210832,2,true
1336,211000,1,true
1337,211126,1,true
1338,211183,3,true
1339,211201,1,true
1340,211264,1,true
1341,211334,8,true
1342,211436,1,true
1343,211451,1,true
